title,body,impact,urgency,priority
CBPD - Inline Error Messages,"The inline messages shown in the form are different from the test case:
 * *Mobile No.*
Test case: Please enter a valid Mobile No (Maximum character limit is 8)
Form: Please enter a valid Singapore Mobile No.
 * *Email Address*
Test case: Please enter a valid Email Address (Maximum character limit is 320)
Form: Please enter a valid Email address
 * *TS/MK No.* and Lot Number**
Test case: Please enter the valid TS/MK No. and Lot Number (Maximum character limit is 50 each)
Form: no inline error message appeared
 * *Postal Code*
Test case: Please enter a valid Postal Code (Maximum character is 6)
Form: Please enter 6 digits Postal Code
 * *Upload relevant project Plans*
Test case: ** Please choose a valid file (Maximum file size is 5MB)
Form: 1 File is required. The file must be in format of dwg/dgn/pdf/dwf with maximum size of 5 MB
 * *Organisation name*
Test case: Please enter a valid Organisation Name
Form: no inline error message appeared as it was auto-filled and non-editable
 * *UEN*
Test case: Please enter a valid UEN
Form: no inline error message appeared as it was auto-filled and non-editable
 * *Other Contact No.*
Test case: Please enter a valid Singapore Other Contact no
Form: Please enter a valid Other Contact No. (Maximum character limit is 12)
 * *Postal Code (on step 4)*
Test case: Please enter a valid Postal Code (Maximum character limit is 6)
Form: no error message showed after clicking Next button without filling in any fields.
 * *Postal Code (on step 5)*
Test case: Please enter a valid Postal Code (Maximum character is 6)
Form: Please enter 6 digits Postal Code
 * *Consultation Description*
Test case: Please enter a valid Consultation Description
Form: Please enter a valid Consultation Description (Maximum character limit is 1000)
 * *Our Proposed Solution*
Test case: Please enter a valid Proposed Solution
Form: Please enter a valid Proposed Solution (Maximum character limit is 1000)
 * *Upload relevant project Plans*
Test case: Please choose a valid file (Maximum file size is 5MB)
Form: 1 File is required. The file must be in format of dwg/dgn/pdf/dwf with maximum size of 5 MB

 

Test case: https://docs.google.com/spreadsheets/d/1iXbvmdoX3M8E8cqanULKeaz8k2TX6yS1kYK37D5gF_Y/edit#gid=914559098

Thank you.",3,3,3
CBPD - Submit button is not working,"The submit button for NEA OSS_Building Plan Consultation Request_CorpPass is not working. In the Console, it was 404 error.

 

Test case (no. 2 step 14): [https://docs.google.com/spreadsheets/d/1iXbvmdoX3M8E8cqanULKeaz8k2TX6yS1kYK37D5gF_Y/edit#gid=914559098]

 

Thank you.",1,1,3
CBPD Department Admin should not be seeing data of other department,See attached screenshot,1,1,1
CBPD user should not be seeing full report list,See attached screenshot.,1,1,1
CBPD: Test 3,"# For CBPD, for a Reroute application, applicant should be allowed to edit attachments submitted, currently, I am unable to do so:
 # Nothing happened when I click on the ""Choose File"" or Click on the X button:
 # Should allow applicant to edit all the fields including attachment of the form

Login as CorpPass: R70DP8384E
 Application Number: APP-BPCOR-20190430-46087

Additionally, error message for the Lot Number is misleading, the form only allows me to enter EXACTLY 6 characters ending with A, and the error message is ""... (Maximum character limit is 6)"", see screen

 

!image-2019-04-30-16-31-59-072.png!

 

{color:#000000}I received more than 1 notification from the System, one of them is of wrong Application ID:{color}

{color:#000000}!image-2019-04-30-17-11-38-299.png!{color}

{color:#000000}I believe this has been raised by ITD, please fix{color}

{color:#000000}I used Corppass user R70DP8384E for the submission, in the notification{color}

!image-2019-04-30-17-11-26-416.png!

{color:#000000}Understand that this is GUID, if the user has no name, please address them as “applicant”{color}

{color:#000000} {color}",2,3,2
CCK - Stuck in Principal Grave Information page,"Hi,

When i have filled up all those data and click next, the page just stuck on Principal Grave Information.

Clicked Next:

!image-2019-02-22-11-13-21-944.png|width=404,height=219!

Result :

!image-2019-02-22-11-13-54-715.png|width=403,height=218!

~Rajadi

 

 ",1,1,3
CCK - error message not the same with wiki,"Hi,

This error message not the same as in the wiki on CCK form :

!image-2019-02-21-16-23-49-558.png|width=530,height=287!

Thanks!

~Rajadi",3,3,3
CCKC Claim," 
 #  +*M*++*issing* LOV+*
 # !image-2019-01-10-12-27-20-454.png!
 !image-2019-01-10-12-27-39-762.png!
 !image-2019-01-10-12-28-03-150.png!
 !image-2019-01-10-12-28-22-217.png!

 # +*Missing Fields*+
 !image-2019-01-10-12-29-02-077.png!",2,3,3
CCKC Prayer Activites - Errors,"# Limit is 3 characters but when I exceed 3, no error  !image-2019-04-29-19-25-24-184.png!
 # !image-2019-04-29-19-25-40-442.png!

!image-2019-04-29-19-25-35-495.png!

2. Praying End Date cannot be more than 3 days after the Praying Start Date

!image-2019-04-29-19-27-17-860.png!

 ",2,3,3
CCKC Prayer Activities - Able to select past date,"# I am able to select a past date for praying start time

 

 ",3,3,3
CWO - Appointment duration is shown as 0 minutes,"*Reporter:* Daniel Lim, VCSD

*Assignee* : %Eldwin Christian%

Please see VCSD users comments in bold:

*[VCSD]: NEA user is unable to set the end time of the CWO session at the Intranet platform. This differs from the expected outcome after NEA users upload the appointment template with a specifically inputted CWO session end time.*

_[Xtremax]: The end time for the CWO session is auto-defined by the system based on the duration of the session configured._ 

_For example, if the duration per appointment +2 hours+ and the start working hours is 9 am, ePortal will auto defined the appointment slots to 9AM - 11AM, 11AM - 1PM, 1PM - 3PM, 3PM - 5PM._

*[VCSD] I am unable to edit the Appointment Duration to test this, perhaps it is an Administrator Access Right, if this is the case could you edit the Appointment Duration and test this? Can DA edit this part?*

*I note that the Appointment Duration is set at 30mins, however, the appointment is shown to last for zero minutes. i.e. 10.30am – 10.30am instead of the expected 10.30am – 11.00am Please rectify this.* 

.",2,2,3
Calendar Close Button UI Bug,"Please fix this bug

!image-2019-03-25-17-49-53-915.png!",3,3,3
Can select future date for 'Date of Death',"By right, not allowed to choose future date for DOD

!image-2019-01-09-22-11-12-525.png!

The error should be, 'Date should not be future date""",3,3,3
Cancelling Application Doesn't Send You any Notification,-,3,3,3
Cannot Click Back on Bulk Appointment,!image-2019-05-06-12-06-15-541.png!,3,3,3
Cannot Create Code on Code Master Maintenance,!image-2019-01-09-18-43-57-254.png|thumbnail!,1,1,1
Cannot Create Cron Job,-,1,1,2
Cannot Delete Service on Health Check Module,"Currently, all of the service under the health check module cannot be deleted.",3,2,2
Cannot Edit Processing Role for Appointment Service,"!image-2019-05-15-12-49-13-188.png|width=375,height=186!",2,2,3
Cannot Edit Reschedule Template,"I download the template for this reschedule, but it looks like its not editable

!image-2019-05-06-12-11-32-411.png|width=570,height=252!

!image-2019-05-06-12-09-58-319.png|width=553,height=299!",2,2,3
Cannot Edit Service with Maintenance Status,"I try to edit the validity date of service that in maintenance so it back to available, but apparently I cannot save the edited service

!image-2019-03-06-17-15-21-294.png!",2,2,3
Cannot Edit the Guide Book File on category,"It seems like there is no issue for uploading any file format for the guidebook. This is not consistent with creation since on creation only PDF allowed.

 

!image-2019-01-07-17-04-19-938.png!",3,2,3
Cannot Edit the Icon File on Category,"I try to edit the category by changing the icon file. Apparently, after uploading another icon, the system keep showing error message and won't let me to process. Even changing the file to original file give no help.

!image-2019-01-07-17-00-37-247.png!",3,2,3
Cannot Open the User Menu,!image-2019-01-22-19-34-09-717.png!,2,2,2
Cannot Save Edited Service,!image-2019-01-30-19-47-33-198.png!,1,1,1
Cannot Select Scheduled Date & Time for Scheduled Publish,!image-2019-01-07-18-28-18-220.png!,3,3,3
Cannot Submit Draft,-,2,1,2
Cannot Submit Form,"After click Submit, it's not redirect to acknowledgement page.

!image-2019-01-14-18-51-36-435.png!",1,1,3
Cannot Submit Form,!image-2019-01-22-17-34-05-302.png!,1,1,3
Cannot Submit Form,"Cannot submit form

!image-2019-01-18-12-38-10-477.png!",1,1,3
Cannot Upload Bulk Appointment,See attached screenshot and excel.,1,1,1
Cannot Upload File,"# Cannot upload file for Site Map
 # Cannot upload file for Photograph of Mitigating Measures
 # The Hyperlink for ""Refer to sample"" didn't work, it goes to the top of page
 # Cannot upload file for Notification Letter Template Draft 
 # The Hyperlink for ""Click here to download"" Notification Letter Template Draft is not working

 

!upload and hyperlink.gif!",2,2,3
Cannot Upload File,"!image-2019-01-22-17-28-15-968.png!!https://lh3.googleusercontent.com/-B011oZOe0FY/XEbgf--YzMI/AAAAAAAAGQQ/p2qqqDHl2e8GZzA0lcqHc71oE96jBndqACL0BGAYYCw/h125/2019-01-22.png!

 ",2,2,3
Cannot Upload Image,"Cannot upload image (already tried both jpg and pdf)

!image-2019-01-15-16-03-46-027.png!",2,2,3
Cannot access the external user module,"!image-2019-01-09-18-41-19-348.png|thumbnail!

When I try to access this side menu. It returns me this.

  !image-2019-01-09-18-40-27-794.png|thumbnail!",1,1,1
Cannot find View button in User Listing,Test script instruction to click on View button.,3,3,2
Cannot select date,!date.gif!,2,2,3
Cannot select year of death to be earlier than 1990,"Cannot select, see screenshot.

!image-2019-06-21-18-18-46-166.png|thumbnail!",2,2,2
Cannot submit Loan of Exhibits form,"Received the following response
{""status"":400,""message"":{""nric"":true,""postalCode"":true,""blockHouseNo"":true,""streetName"":true,""floorNo"":true,""unitNo"":true,""buildingName"":true,""contactEmailAddress"":true,""onBehalfOfPrivateCompany"":true,""agreePayCost"":true,""checkAgreePayCost"":true,""loanStartDate"":true,""loanEndDate"":true,""eventName"":true,""estimatedNumberOfParticipants"":true,""eventRemarks"":true,""locRemarks"":true,""onBehalfOfPartner"":true,""partnerOrgName"":true,""partnerUen"":true,""partnerEmailAddress"":true,""partnerFullName"":false,""partnerMobileNo"":false,""climateChangeAccordionCheckbox"":false}}",1,1,3
Cannot upload file,"Building plan consultaion form

!image-2019-02-15-20-58-25-369.png!",2,3,3
Cant retrieve post code ,"Hi all got bug while testing for the Service name : Request for Prayer Activity Choa Chu Kang Chinese Cemetery

 !image-2019-02-21-12-34-12-938.png|thumbnail! 

Thanks
https://docs.google.com/spreadsheets/d/1YLeeFWB_Fct5Zt-TM0_n26P63Htg6cNiQCeBZRIT3g8/edit#gid=914559098
no. 1 step 6
",3,3,3
Change Global Menu name,"Please change the sub menu of cron job 

!image-2019-01-16-12-27-45-086.png!

To:

Worker Monitor

Task List

History

Configuration",3,3,3
Change Intranet Error Message,"Change to this:

*+502:+*
h2. The related module is unavailable

*Please try again later*

Or report your issues to [veportal@nea.gov.sg|mailto:veportal@nea.gov.sg]

 

+*404:*+
h2. It looks like the requested URL is incorrect
 * Ensure the web address is correct
 * Clear the cookies and cache

Or report your issues to [veportal@nea.gov.sg|mailto:veportal@nea.gov.sg] 

 

+*403 and 401:*+
h2. It looks like you do not have access to this page
 * Ensure the web address is correct
 * Clear the cookies and cache

Or report your issues to [veportal@nea.gov.sg|mailto:veportal@nea.gov.sg]

 ",3,3,3
Change LOA ref no validation to APP-3PAON,"As we are changing LOA to APP-3PAON instead of APP-ATPAO, can help to change the validation to this app ref no?

The application ref no is valid if:
 # APP-3PAON-YYYYMMDD-RRRRR
 # Approved

If it is
 # Cancelled
 # Withdrawn
 # Rejected

Will be considered as invalid

 

For the following forms:
 # Addition of Cremated Remains to Niche/Grave
 # Removal of Urn and Surrender of Niche Lease
 # Application for Permit to Erect a Tombstone/Monument
 # Written Permission to Exhume Corpse",3,3,2
Change Password link is not working,Change password link should not be there if I am not allow to change it in ePortal intranet at the first place.,2,3,3
Change department names,"Due to reorg, please change the names of these departments:
 # FPD to MFPD
 # CBPD to DCLD",3,3,3
"Change the Side Menu Title Name to ""Access Management""",!image-2019-01-16-12-43-20-799.png!,3,3,3
Change the Successful Message,"Please change the message to ""Code Successfully Created""

 

!image-2019-04-01-22-06-39-432.png!",3,3,3
Change the Term for category,"Please change ""eServuces"" -> Categories and 'View all eServices"" -> View All Categories

!image-2019-01-11-13-19-31-193.png!",3,3,3
Change the Who We Are Page Redirection,"Please change the redirection of Who We Are Page to this page: [https://www.nea.gov.sg/corporate-functions/who-we-are/about-us]

!image-2019-04-10-19-03-02-963.png!",3,3,2
"Change this ""Services"" to ""Menu""",!image-2019-01-29-17-43-34-916.png!,3,3,3
"Change to ""Registered Address""","Please change this to ""registered address"". This is profile management

 

!image-2019-02-12-20-19-33-454.png!",3,3,3
Changes to the content on the error pages,"Change to this:

*+502:+*

!image-2019-07-05-16-30-42-897.png|thumbnail!
h2. The related module is unavailable

*Please try again later*

Or report your issues to[http://www.nea.gov.sg/feedback]

 

+*404:*+

!image-2019-07-05-16-42-42-000.png|thumbnail!
h2. It looks like the requested URL is incorrect
 * Ensure the web address is correct
 * Clear the cookies and cache

Or report your issues to

[http://www.nea.gov.sg/feedback]

 ",3,3,3
